resource_id,title,provider,url,duration_min,is_micro,language,level,related_competencies,summary,learning_mode
COURSE.021,"数据分析师能力地图",慕课网,https://www.imooc.com/learn/data-analyst,700,false,zh,intermediate,"C.hard.data.analysis;C.hard.db.sql","需求理解 / SQL / Python / A/B 实验",formal
COURSE.022,"A/B 实验 15 分钟微课",极客时间,https://time.geekbang.org/microabtest,15,true,zh,intermediate,"C.hard.data.analysis","实验设计陷阱与结果解读",formal
COURSE.023,"沟通表达训练营",得到,https://www.dedao.cn/course/communication,400,false,zh,beginner,"C.soft.comm","金字塔原理 / SCQA / 表达结构化",formal
COURSE.024,"技术 Leader 的第一课",极客时间,https://time.geekbang.org/column/intro/tech-lead,600,false,zh,advanced,"C.soft.lead;C.soft.collab","角色转换 / 团队搭建 / 技术决策",formal
COURSE.025,"结构化思维 12 讲",得到,https://www.dedao.cn/course/structured-thinking,360,false,zh,beginner,"C.soft.problem","MECE / 金字塔 / 假设驱动的工作方法",formal
COURSE.026,"金融科技基础课",网易云课堂,https://study.163.com/fintech-intro,500,false,zh,beginner,"C.domain.fintech","支付 / 风控 / 清结算 / 合规概览",formal
COURSE.027,"电商业务与运营",慕课网,https://www.imooc.com/learn/ecommerce-biz,450,false,zh,intermediate,"C.domain.ecommerce","交易链路 / 营销玩法 / 履约体系",formal
COURSE.028,"社区与内容产品方法论",得到,https://www.dedao.cn/course/content-product,400,false,zh,intermediate,"C.domain.social","UGC 生态 / 社区治理 / 内容分发",formal
COURSE.029,"React 18 新特性 10 分钟",B站,https://www.bilibili.com/video/BV1R18new,10,true,zh,intermediate,"C.hard.prog.ts","Concurrent Rendering / Suspense / Transition",formal
COURSE.030,"TAPD 使用 15 分钟上手",内部培训,https://learning.tencent.com/tapd-15min,15,true,zh,beginner,"C.tool.pm","需求 / 缺陷 / 迭代三板斧",formal
